gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
001602,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMGEN INC,AMGN,031162100,0000318154,2836,325414
001690,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLE INC,AAPL,037833100,0000320193,3663,334220
001704,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,333242
006008,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTEL CORP,INTC,458140100,0000050863,3674,334413
008253,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PACCAR INC,PCAR,693718108,0000075362,3711,336120
008402,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PAYCHEX INC,PAYX,704326107,0000723531,8721,541214
012141,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICROSOFT CORP,MSFT,594918104,0000789019,7372,511210
012540,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADOBE INC,ADBE,00724F101,0000796343,7372,511210
020779,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CISCO SYSTEMS INC,CSCO,17275R102,0000858877,3576,334210
022325,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,XILINX INC,XLNX,983919101,0000743988,3674,334413
024800,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,QUALCOMM INC,QCOM,747525103,0000804328,3674,334413
029028,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COSTCO WHOLESALE CORP,COST,22160K105,0000909832,5399,452910
004016,01,000208,19950101,19950126,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOLLAR GENERAL CORP,DG,256669102,0000029534,5331,452990
006944,01,000208,19950101,19950126,Nasdaq 100,LGCAP,I0028,,,EXCHG,MAGMA POWER CO,MGMA.,559194105,0000355878,4991,221119
013506,01,000208,19950101,19950212,Nasdaq 100,LGCAP,I0028,,,EXCHG,QVC INC,0189A,747262103,0001254699,5961,454113
009477,01,000208,19950101,19950226,Nasdaq 100,LGCAP,I0028,,,EXCHG,SCIMED LIFE SYSTEMS INC,SMLS,808614101,0000087743,3841,339112
009815,01,000208,19950101,19950305,Nasdaq 100,LGCAP,I0028,,,EXCHG,SONOCO PRODUCTS CO,SON,835495102,0000091767,2650,322219
006815,01,000208,19950101,19950704,Nasdaq 100,LGCAP,I0028,,,EXCHG,LOTUS DEVELOPMENT CORP,LOTS.,545700106,0000711761,7372,511210
004100,01,000208,19950101,19950718,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEGENT CORP,LGNT,52465R109,0000845607,7372,511210
002443,01,000208,19950101,19950817,Nasdaq 100,LGCAP,I0028,,,EXCHG,BRUNOS INC,BRNO20,116881202,0000014920,5411,445110
008283,01,000208,19950101,19950926,Nasdaq 100,LGCAP,I0028,,,EXCHG,PACIFIC TELECOM INC,PTCM,694876103,0000096977,4813,513310
006734,01,000208,19950101,19951002,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIN BROADCASTING,LINB,532763109,0000059498,4812,513330
008596,01,000208,19950101,19951105,Nasdaq 100,LGCAP,I0028,,,EXCHG,PIONEER HI-BRED INTERNATIONL,PHB.1,723686101,0000078716,0100,111150
007609,01,000208,19950101,19951126,Nasdaq 100,LGCAP,I0028,,,EXCHG,MULTIMEDIA INC,MMEDC,62545K107,0000068813,4841,513210
009168,01,000208,19950101,19951126,Nasdaq 100,LGCAP,I0028,,,EXCHG,CALIBER SYSTEMS INC,CBB.1,129894101,0000701708,4210,492110
001055,01,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,AST RESEARCH INC,ASTA,001907104,0000725182,3571,334111
001254,01,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,MATSON INC,MATX,57686G105,0000003453,4400,483113
002938,01,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHARMING SHOPPES INC,CHRS.1,161133103,0000019353,5621,448120
003505,01,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,MOLSON COORS BREWING CO,TAP,60871R209,0000024545,2082,312120
005690,01,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,HNI CORP,HNI,404251100,0000048287,2522,337214
007921,01,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,NORDSON CORP,NDSN,655663102,0000072331,3569,333999
010386,02,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,TECUMSEH PRODUCTS CO,TECU,878895309,0000096831,3585,333415
011649,01,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,YRC WORLDWIDE INC,YRCW,984249607,0000716006,4213,484122
013500,01,000208,19950101,19951217,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTELLIGENT ELECTRONICS INC,INEL.2,458157104,0000814430,5045,421430
024357,01,000208,19950101,19960228,Nasdaq 100,LGCAP,I0028,,,EXCHG,BAY NETWORKS INC,BAY.3,072510100,0000876516,3576,334119
010948,01,000208,19950101,19960716,Nasdaq 100,LGCAP,I0028,,,EXCHG,U S HEALTHCARE INC,USHC,911910107,0000711405,6324,621491
024216,01,000208,19950101,19960929,Nasdaq 100,LGCAP,I0028,,,EXCHG,AES CORP,AES,00130H105,0000874761,4991,22111
009372,01,000208,19950101,19961124,Nasdaq 100,LGCAP,I0028,,,EXCHG,ST JUDE MEDICAL INC,STJ,790849103,0000203077,3845,334510
001849,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,ASA HOLDINGS INC,ASAI,04338Q107,0001023944,4512,481111
002282,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,BOB EVANS FARMS,BOBE,096761101,0000033769,2013,311612
005783,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107,0000728535,4213,484121
006379,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,KELLY SERVICES INC  -CL A,KELYA,488152208,0000055135,7363,561320
006565,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,LAM RESEARCH CORP,LRCX,512807108,0000707549,3559,333242
007401,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,MILLER (HERMAN) INC,MLHR,600544100,0000066382,2520,3372
010085,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,STEWART & STEVENSON SERVICES,SVC.1,860342104,0000094328,3711,336992
011502,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,WILLAMETTE INDUSTRIES,WLL.1,969133107,0000107189,2621,322121
014244,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,VANGUARD CELLULAR SYS  -CL A,VCELA,922022108,0000771178,4812,513322
014524,02,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,ACCLAIM ENTERTAINMENT INC,AKLM,004325205,0000804888,7372,511210
015802,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,SKYTEL COMMUNICATIONS INC,SKYT,83087Q104,0000842915,4812,513321
016475,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,GIDDINGS & LEWIS INC/WI,GIDL,375048105,0000851588,3540,333512
024782,01,000208,19950101,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,PERRIGO CO PLC,PRGO,G97822103,0001585364,2834,325412
010115,01,000208,19950101,19970723,Nasdaq 100,LGCAP,I0028,,,EXCHG,STRYKER CORP,SYK,863667101,0000310764,3842,339113
010793,01,000208,19950101,19971014,Nasdaq 100,LGCAP,I0028,,,EXCHG,TYSON FOODS INC  -CL A,TSN,902494103,0000100493,2011,311611
012587,01,000208,19950101,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,ASCENTIAL SOFTWARE CORP,ASCL,04362P207,0000799089,7372,511210
016401,01,000208,19950101,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,CIRRUS LOGIC INC,CRUS,172755100,0000772406,3674,334413
024186,01,000208,19950101,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,OSI RESTAURANT PARTNERS INC,OSI,67104A101,0000874691,5812,722110
024510,01,000208,19950101,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,PAGING NETWORK INC,PAGE,695542100,0000878324,4812,513321
001468,01,000208,19950101,19980210,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERICAN GREETINGS  -CL A,AM.1,026375105,0000005133,2771,511191
021081,01,000208,19950101,19980826,Nasdaq 100,LGCAP,I0028,,,EXCHG,VIKING OFFICE PRODUCTS INC,VKNG.,926913104,0000859303,5961,454110
003705,01,000208,19950101,19980827,Nasdaq 100,LGCAP,I0028,,,EXCHG,DSC COMMUNICATIONS CORP,DIGI.1,233311109,0000316004,3661,334210
006864,01,000208,19950101,19980915,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCI COMMUNICATIONS,MCIC.,552673105,0000064079,4813,513310
024409,01,000208,19950101,19981220,Nasdaq 100,LGCAP,I0028,,,EXCHG,SYBASE INC,SY.3,871130100,0000768262,7372,511210
010393,01,000208,19950101,19990309,Nasdaq 100,LGCAP,I0028,,,EXCHG,TELE-COMM TCI GROUP  -SER A,TCOMA,87924V101,,4841,513220
007146,01,000208,19950101,19990524,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCCORMICK & CO INC,MKC,579780206,0000063754,2090,311942
007922,01,000208,19950101,19990609,Nasdaq 100,LGCAP,I0028,,,EXCHG,NORDSTROM INC,JWN,655664100,0000072333,5651,448140
008867,01,000208,19950101,19990803,Nasdaq 100,LGCAP,I0028,,,EXCHG,QUANTUM CORP,QTM,747906105,0000709283,3572,334112
004828,02,000208,19950101,19990908,Nasdaq 100,LGCAP,I0028,,,EXCHG,DELHAIZE AMERICA INC,DEG1,246688204,0000037912,5411,445110
002846,01,000208,19950101,19991005,Nasdaq 100,LGCAP,I0028,,,EXCHG,CENTOCOR INC,CNTO.,152342101,0000708823,2836,325414
001651,01,000208,19950101,19991219,Nasdaq 100,LGCAP,I0028,,,EXCHG,ANDREW CORP,ANDW,034425108,0000317093,3357,335929
001878,01,000208,19950101,19991219,Nasdaq 100,LGCAP,I0028,,,EXCHG,AUTODESK INC,ADSK,052769106,0000769397,7370,519130
003570,01,000208,19950101,19991219,Nasdaq 100,LGCAP,I0028,,,EXCHG,CRACKER BARREL OLD CTRY STOR,CBRL,22410J106,0001067294,5812,722511
011600,01,000208,19950101,19991219,Nasdaq 100,LGCAP,I0028,,,EXCHG,WORTHINGTON INDUSTRIES,WOR,981811102,0000108516,3310,331221
013397,01,000208,19950101,19991219,Nasdaq 100,LGCAP,I0028,,,EXCHG,FIRST HEALTH GROUP CORP,FHCC,320960107,0000812910,6411,524292
009699,01,000208,19950101,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIGMA-ALDRICH CORP,SIAL,826552101,0000090185,2833,325411
012126,01,000208,19950101,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,PACIFICARE HEALTH SYSTEMS,PHS,695112102,0001027974,6324,621491
012256,01,000208,19950101,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,STEEL EXCEL INC,SXCL,858122203,0000709804,1389,213112
014565,01,000208,19950101,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERICAN POWER CONVERSION CP,APCC.,029066107,0000835910,3620,335999
014650,01,000208,19950101,20010312,Nasdaq 100,LGCAP,I0028,,,EXCHG,BMC SOFTWARE INC,BMC,055921100,0000835729,7372,511210
010553,01,000208,19950101,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,3COM CORP,COMS,885535104,0000738076,3576,334119
011910,01,000208,19950101,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,NOVELL INC,NOVL,670006105,0000758004,7370,541519
018699,01,000208,19950101,20011223,Nasdaq 100,LGCAP,I0028,,,EXCHG,PTC INC,PTC,69370C100,0000857005,7372,511210
001164,01,000208,19950101,20020723,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCI INC,MCIP,98157D106,0000723527,4813,517110
003226,02,000208,19950101,20021118,Nasdaq 100,LGCAP,I0028,,,EXCHG,COMCAST CORP,CMCSA,20030N200,0001166691,4841,515210
023767,01,000208,19950101,20021222,Nasdaq 100,LGCAP,I0028,,,EXCHG,ATMEL CORP,ATML,049513104,0000872448,3674,334413
002226,01,000208,19950101,20031112,Nasdaq 100,LGCAP,I0028,,,EXCHG,BIOGEN INC-OLD,BGEN,090597105,0000714655,2836,325414
001013,01,000208,19950101,20031221,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADC TELECOMMUNICATIONS INC,ADCT,000886309,0000061478,3661,334210
026011,01,000208,19950101,20041219,Nasdaq 100,LGCAP,I0028,,,EXCHG,COMPUWARE CORP,CPWR.1,205638109,0000859014,7372,511210
024870,01,000208,19950101,20050814,Nasdaq 100,LGCAP,I0028,,,EXCHG,NEXTEL COMMUNICATIONS INC,NXTL,65332V103,0000824169,4812,517212
007506,01,000208,19950101,20051220,Nasdaq 100,LGCAP,I0028,,,EXCHG,MOLEX INC,MOLX,608554101,0000067472,3678,334417
003011,01,000208,19950101,20060420,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHIRON CORP,CHIR.1,170040109,0000706539,2834,325412
002230,01,000208,19950101,20070717,Nasdaq 100,LGCAP,I0028,,,EXCHG,BIOMET INC,5938B,090613100,0000351346,3842,339113
010420,01,000208,19950101,20080519,Nasdaq 100,LGCAP,I0028,,,EXCHG,TELLABS INC,TLAB,879664100,0000317771,3661,334210
012136,01,000208,19950101,20090716,Nasdaq 100,LGCAP,I0028,,,EXCHG,SUN MICROSYSTEMS INC,JAVA,866810203,0000709519,3571,334111
003062,01,000208,19950101,20101219,Nasdaq 100,LGCAP,I0028,,,EXCHG,CINTAS CORP,CTAS,172908105,0000723254,2320,315220
012233,01,000208,19950101,20110403,Nasdaq 100,LGCAP,I0028,,,EXCHG,GENZYME CORP,GENZ,372917104,0000732485,2836,325414
016721,01,000208,19950101,20121227,Nasdaq 100,LGCAP,I0028,,,EXCHG,ELECTRONIC ARTS INC,EA,285512109,0000712515,7372,511210
012142,01,000208,19950101,20130714,Nasdaq 100,LGCAP,I0028,,,EXCHG,ORACLE CORP,ORCL,68389X105,0001341439,7372,511210
014489,01,000208,19950101,20131029,Nasdaq 100,LGCAP,I0028,,,EXCHG,DELL TECHNOLOGIES INC,7732B,24702R101,0001571996,3571,334111
015521,01,000208,19950101,20151220,Nasdaq 100,LGCAP,I0028,,,EXCHG,STAPLES INC,SPLS,855030102,0000791519,5110,424120
012216,01,000208,19950101,20161018,Nasdaq 100,LGCAP,I0028,,,EXCHG,LINEAR TECHNOLOGY CORP,LLTC,535678106,0000791907,3674,334413
025563,01,000208,19950127,19960709,Nasdaq 100,LGCAP,I0028,,,EXCHG,STRATACOM INC,STRM.,862683109,0000791594,3661,334210
008902,01,000208,19950127,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,RPM INTERNATIONAL INC,RPM,749685103,0000110621,2890,325998
009472,01,000208,19950213,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,SCHULMAN (A.) INC,SHLM,808194104,0000087565,2821,325211
006304,01,000208,19950227,20160225,Nasdaq 100,LGCAP,I0028,,,EXCHG,KLA-TENCOR CORP,KLAC,482480100,0000319201,3827,333314
005399,01,000208,19950306,19990112,Nasdaq 100,LGCAP,I0028,,,EXCHG,HBO & CO,HBOC.1,404100109,0000310377,7373,541512
028289,01,000208,19950705,19961230,Nasdaq 100,LGCAP,I0028,,,EXCHG,MFS COMMUNICATIONS INC,MFST.,55272T101,0000898623,4813,513310
014324,01,000208,19950719,20151006,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALTERA CORP,ALTR.1,021441100,0000768251,3674,334413
007672,01,000208,19950818,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,NORTHWEST AIRLINES CORP,NWA,667280101,0001058033,4512,481111
024548,01,000208,19950927,19970611,Nasdaq 100,LGCAP,I0028,,,EXCHG,U S ROBOTICS CORP,USRX,90338F100,0000933353,3661,334210
014340,02,000208,19951003,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,EDCI HOLDINGS INC,EDCI,268315207,0000808918,9995,999990
025056,01,000208,19951106,19960801,Nasdaq 100,LGCAP,I0028,,,EXCHG,TIME WARNER INC,TWX,887317303,0001105705,4888,512110
029345,01,000208,19951127,19970521,Nasdaq 100,LGCAP,I0028,,,EXCHG,GATEWAY INC,GTW,367626108,0000895812,3571,334111
027928,01,000208,19951127,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTUIT INC,INTU,461202103,0000896878,7372,511210
024608,01,000208,19951218,19961222,Nasdaq 100,LGCAP,I0028,,,EXCHG,READ-RITE CORP,RDRTQ,755246204,0000819480,3572,334112
024197,01,000208,19951218,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,IDEXX LABS INC,IDXX,45168D104,0000874716,2835,325413
028648,01,000208,19951218,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,PETSMART INC,PETM,716768106,0000863157,5990,453910
029144,01,000208,19951218,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,BOSTON CHICKEN INC,BCHXQ,100578103,0000894751,5812,722211
012441,01,000208,19951218,19980914,Nasdaq 100,LGCAP,I0028,,,EXCHG,GARTNER INC,IT,366651107,0000749251,8700,541910
026905,01,000208,19951218,19981220,Nasdaq 100,LGCAP,I0028,,,EXCHG,GENERAL NUTRITION COS  -CL A,GNCI.,37047F103,0000880120,5400,446191
018484,01,000208,19951218,19991219,Nasdaq 100,LGCAP,I0028,,,EXCHG,WEB.COM INC,WWWW.1,94732Q100,0000854460,7374,518210
025944,01,000208,19951218,20041228,Nasdaq 100,LGCAP,I0028,,,EXCHG,PEOPLESOFT INC,PSFT.,712713106,0000875570,7372,511210
014256,01,000208,19951218,20071002,Nasdaq 100,LGCAP,I0028,,,EXCHG,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,0000743316,3674,334413
024381,01,000208,19960229,19981220,Nasdaq 100,LGCAP,I0028,,,EXCHG,OXFORD HEALTH PLANS INC,OHP,691471106,0000865084,6324,524114
030203,01,000208,19960710,19990624,Nasdaq 100,LGCAP,I0028,,,EXCHG,ASCEND COMMUNICATIONS INC,ASND.1,043491109,0000921146,3576,334119
030545,01,000208,19960717,19970630,Nasdaq 100,LGCAP,I0028,,,EXCHG,CASCADE COMMUNICATIONS CORP,CSCC.,147184105,0000887763,3576,334119
009063,01,000208,19960802,19970611,Nasdaq 100,LGCAP,I0028,,,EXCHG,AUTONATION INC,AN,05329W102,0000350698,5500,441110
030237,01,000208,19960930,19990527,Nasdaq 100,LGCAP,I0028,,,EXCHG,FORE SYSTEMS INC,FORE.1,345449102,0000920000,3576,334119
025434,01,000208,19961125,,Nasdaq 100,LGCAP,I0028,,,EXCHG,STARBUCKS CORP,SBUX,855244109,0000829224,5812,722513
012635,01,000208,19961223,,Nasdaq 100,LGCAP,I0028,,,EXCHG,FISERV INC,FISV,337738108,0000798354,7374,518210
012144,01,000208,19961223,19970603,Nasdaq 100,LGCAP,I0028,,,EXCHG,SUNGARD DATA SYSTEMS INC,0139A,867363103,0000789388,7372,511210
004850,02,000208,19961223,19970812,Nasdaq 100,LGCAP,I0028,,,EXCHG,FORT HOWARD CORP,FORT.1,347461105,0000038195,2621,322121
013369,01,000208,19961223,19980106,Nasdaq 100,LGCAP,I0028,,,EXCHG,KOMAG INC,KOMG,500453105,0001689437,3695,334613
024069,01,000208,19961223,19981220,Nasdaq 100,LGCAP,I0028,,,EXCHG,WISCONSIN CENTRAL TRANSPORTN,WCLX,976592105,0000874213,4011,482111
024858,01,000208,19961223,19981220,Nasdaq 100,LGCAP,I0028,,,EXCHG,PHYCOR INC,3PHYCQ,71940F100,0000881400,8011,621111
028848,01,000208,19961223,19981220,Nasdaq 100,LGCAP,I0028,,,EXCHG,PAIRGAIN TECHNOLOGIES INC,PAIR.,695934109,0000910032,3661,334210
030576,01,000208,19961223,19981220,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADTRAN INC,ADTN,00738A106,0000926282,3661,334210
030689,01,000208,19961223,19991026,Nasdaq 100,LGCAP,I0028,,,EXCHG,CORPORATE EXPRESS INC,CEXP.,219888104,0000878130,5961,454110
025774,01,000208,19961223,19991219,Nasdaq 100,LGCAP,I0028,,,EXCHG,ELECTRONICS FOR IMAGING INC,EFII,286082102,0000867374,3576,334210
024975,01,000208,19961223,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,SYNOPSYS INC,SNPS,871607107,0000883241,7372,511210
025783,01,000208,19961223,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCAFEE INC,MFE,579064106,0000890801,7372,511210
030095,01,000208,19961223,20001217,Nasdaq 100,LGCAP,I0028,,,EXCHG,QUINTILES TRANSNATIONAL CORP,0573B,748767100,0000919623,8731,541710
003373,01,000208,19961223,20021106,Nasdaq 100,LGCAP,I0028,,,EXCHG,CONCORD EFS INC,CE.2,206197105,0000740112,6099,522320
025338,01,000208,19961223,20161218,Nasdaq 100,LGCAP,I0028,,,EXCHG,BED BATH & BEYOND INC,BBBY,075896100,0000886158,5700,442299
014225,01,000208,19961231,19991219,Nasdaq 100,LGCAP,I0028,,,EXCHG,FASTENAL CO,FAST,311900104,0000815556,5000,423
061143,01,000208,19970522,19990317,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETSCAPE COMMUNICATIONS CORP,NSCP,641149109,0000944458,7372,511210
027965,01,000208,19970604,20131229,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICROCHIP TECHNOLOGY INC,MCHP,595017104,0000827054,3674,334413
